feedback_id,feedback_text,aspects,sentiments,num_aspects
fb_00001,"Network coverage is absolutely pathetic in my area, calls drop every 5 minutes.",Network Coverage|Call Quality,Negative|Negative,2
fb_00002,fr superb internet speed after the recent upgrade. Streaming is seamless now and I can finally video call without buffering.,Internet Speed,Positive,1
fb_00003,"The network outage last week was terrible. No signal for 6 hours straight. But honestly the call quality when it works is pretty decent, so I'm torn about switching providers tho",Network Outage|Call Quality,Negative|Positive,2
fb_00004,smh decent coverage in the city but rural areas are hopeless.,Network Coverage,Neutral,1
fb_00005,"ugh internet speed is lit bro, downloading movies in seconds. Network coverage also solid in my locality. No complaints at all, been using this for 2 years and it just keeps getting better.",Internet Speed|Network Coverage,Positive|Positive,2
fb_00006,"Call quality is trash, sounds like talking underwater.",Call Quality,Negative,1
fb_00007,"Had a network outage yesterday but it got resolved within an hour. The coverage in my building has improved a lot since last month. Internet speed is average though, nothing special...",Network Outage|Network Coverage|Internet Speed,Neutral|Positive|Neutral,3
fb_00008,Worst network coverage ever. Cant even make a simple call from my house. Paying premium for nothing.,Network Coverage|Call Quality,Negative|Negative,2
fb_00009,"Speed test shows 150mbps consistently, very happy with the internet.",Internet Speed,Positive,1
fb_00010,"Network outages have become a weekly thing now. Last month alone there were 4 outages. The coverage map on their website is a complete lie. However I must say when the network is up, call clarity is crystal clear smh",Network Outage|Network Coverage|Call Quality,Negative|Negative|Positive,3
fb_00011,Brilliant call quality... if u enjoy talking to robots with static.,Network Coverage|Internet Speed,Positive|Negative,2
fb_00012,Call quality has been fine lately.,Call Quality,Neutral,1
fb_00013,The internet speed is so slow I want to cry. Pages take forever to load. Even basic WhatsApp messages take ages to send. Absolutely frustrated with this service.,Internet Speed,Negative,1
fb_00014,"Network coverage is excellent in tier-1 cities. Call quality is also top notch, never had a dropped call in 6 months. Really impressed with the improvement they've made.",Network Coverage|Call Quality,Positive|Positive,2
fb_00015,Outage again today smh. Third time this week.,Network Outage,Negative,1
fb_00016,"Internet speed is okayish, not great not terrible. Coverage seems fine in most places I go. Call quality drops sometimes in the elevator but thats probably normal.",Internet Speed|Network Coverage|Call Quality,Neutral|Neutral|Neutral,3
fb_00017,Amazing network coverage even in remote villages. Finally a provider that cares about rural India.,Network Coverage,Positive,1
fb_00018,The network outage compensation they offered was a joke. 1GB free data for 12 hours of no service? Internet speed has also degraded significantly after the outage was fixed. Call quality remains the only saving grace.,Network Outage|Internet Speed|Call Quality,Negative|Negative|Positive,3
fb_00019,"SERIOUSLY Speed is super fast on 4G, loving it.",Internet Speed,Positive,1
fb_00020,"Coverage is spotty in my neighborhood. Some streets have full bars, others have nothing. It's really inconsistent and makes it hard to rely on for important calls.",Network Coverage|Call Quality,Negative|Negative,2
fb_00021,"No outages in my area for months now, network seems stable.",Network Outage,Positive,1
fb_00022,"bruh internet speed fluctuates a lot. Morning its great, evening its unusable. Network coverage is solid though, always have signal. Wish they would fix the speed consistency issue.",Internet Speed|Network Coverage,Negative|Positive,2
fb_00023,"Call quality is brilliant, HD voice works perfectly.",Call Quality,Positive,1
fb_00024,There was a brief outage this morning but it came back quickly. Not a big deal honestly. Coverage and speed both working fine otherwise.,Network Outage|Network Coverage|Internet Speed,Neutral|Positive|Positive,3
fb_00025,Daylight robbery charging this much for such poor network coverage.,Network Coverage,Negative,1
fb_00026,"Internet speed is consistently good, no drops even during rain.",Internet Speed,Positive,1
fb_00027,ngl network outage for 3 hours today. Coverage was already weak in this area and now this. Call quality also suffered with constant static noise before the outage hit.,Network Outage|Network Coverage|Call Quality,Negative|Negative|Negative,3
fb_00028,"Coverage is fine, nothing extraordinary truly PATHETIC!",Network Coverage,Neutral,1
fb_00029,Loving the internet speed on the new fiber plan. Downloads are insane. Network coverage has also improved in my building basement which was a dead zone before.,Internet Speed|Network Coverage,Positive|Positive,2
fb_00030,Call drops every single time I enter the metro. So annoying.,Call Quality|Network Coverage,Negative|Negative,2
fb_00031,"The outage notification system is good, they inform us in advance now.",Network Outage,Positive,1
fb_00032,Speed is decent for browsing but not enough for gaming. Coverage wise no issues in my city. Call quality is clear most of the time.,Internet Speed|Network Coverage|Call Quality,Neutral|Positive|Positive,3
fb_00033,"Pathetic internet speed, cant even load Instagram properly.",Internet Speed,Negative,1
fb_00034,Network coverage improved after they installed a new tower nearby. Very happy with the signal strength now. Internet speed also got a boost.,Network Coverage|Internet Speed,Positive|Positive,2
fb_00035,SERIOUSLY Super impressed... by how bad the roaming charges are. Daylight robbery.,Network Outage,Negative,1
fb_00036,"Call quality on VoLTE is amazing, feels like the person is right next to you. Network coverage is also strong indoors which surprised me.",Call Quality|Network Coverage,Positive|Positive,2
fb_00037,"Internet speed is average, nthng to write home about.",Internet Speed,Neutral,1
fb_00038,Frequent outages in our area have made this service unreliable. I work from home and cant afford random disconnections. The coverage when available is okay but the outages kill it.,Network Outage|Network Coverage,Negative|Neutral,2
fb_00039,"Great speed and coverage combo, best in the market rn.",Internet Speed|Network Coverage,Positive|Positive,2
fb_00040,Call quality degrades badly during peak hours. Network coverage is fine but what's the point if calls sound robotic when everyone is using the network.,Call Quality|Network Coverage,Negative|Neutral,2
fb_00041,No complaints about network outages recently.,Network Outage,Positive,1
fb_00042,Internet speed drops to unusable levels every evening. Coverage is patchy on highways. Only positive is call quality which has been consistently good for voice calls.,Internet Speed|Network Coverage|Call Quality,Negative|Negative|Positive,3
fb_00043,"SERIOUSLY Coverage is good in urban areas, satisfied customer here.",Network Coverage,Positive,1
fb_00044,The network outage yesterday affected my business badly. Lost clients because of missed calls. Internet was also down so couldnt even send emails. Absolutely unacceptable for a premium plan.,Network Outage|Call Quality|Internet Speed,Negative|Negative|Negative,3
fb_00045,Speed is fast enough for my needs LOVE it!,Internet Speed,Positive,1
fb_00046,Network coverage has been stable and reliable. Call quality is also very clear. Happy with the overall network performance in my area :(,Network Coverage|Call Quality,Positive|Positive,2
fb_00047,"Outage happened during an important meeting, very frustrating.",Network Outage,Negative,1
fb_00048,Internet speed is okay I guess. Not the fastest but gets the job done for basic stuff.,Internet Speed,Neutral,1
fb_00049,Network coverage inside malls and parking areas is nonexistent. Call quality also terrible in basements. They need more indoor towers or something.,Network Coverage|Call Quality,Negative|Negative,2
